dataset,sheet,split_id,n_train,n_val,n_test,RT_min,RT_max,RT_IQR,dup_rate,source_CP_distance,residual_MAE,residual_R2,residual_skew,film_grad_ok,cp_sensitivity_p,failure_tag,loss_weight_rule
0185,S5,S5_0185_24,307,35,38,54.60000229,667.2000122,217.1999969,0.1172638436,0.1591420943,51.67261791,0.8012724315,2.461322214,n/a,,hard_loss,
0185,S5,S5_0185_25,307,35,38,58.80000305,690,218.4000092,0.1042345277,0.1591420943,51.67261791,0.8012724315,2.461322214,n/a,,hard_loss,
0231,S5,S5_0231_23,102,12,13,40.36977005,381.0110474,172.5866928,0.01960784314,0.2287946158,30.78165641,0.7849385488,0.3664745146,n/a,,win,
0231,S5,S5_0231_24,102,12,13,40.36977005,381.0110474,182.0259266,0.01960784314,0.2287946158,30.78165641,0.7849385488,0.3664745146,n/a,,win,
0231,S5,S5_0231_25,102,12,13,40.36977005,381.0110474,184.6680374,0.01960784314,0.2287946158,30.78165641,0.7849385488,0.3664745146,n/a,,win,
0282,S5,S5_0282_23,57,7,8,80.22856903,442.0285645,121.8000107,0,0.3639039006,84.27456956,-24.18438926,-0.2917273928,n/a,,catastrophic,
0282,S5,S5_0282_24,57,7,8,80.22856903,471.0857239,132.0000076,0,0.3639039006,84.27456956,-24.18438926,-0.2917273928,n/a,,catastrophic,
0282,S5,S5_0282_25,57,7,8,80.22856903,471.0857239,86.82857513,0,0.3639039006,84.27456956,-24.18438926,-0.2917273928,n/a,,catastrophic,
0283,S5,S5_0283_23,59,7,8,104,247.7142944,26.82857513,0,0.4115770824,21.04615008,-95.69060457,-2.730880896,n/a,,catastrophic,
0283,S5,S5_0283_24,59,7,8,104,247.7142944,27.68572235,0,0.4115770824,21.04615008,-95.69060457,-2.730880896,n/a,,catastrophic,
0283,S5,S5_0283_25,59,7,8,104,242.8285828,25.37143707,0,0.4115770824,21.04615008,-95.69060457,-2.730880896,n/a,,catastrophic,
0372,S5,S5_0372_23,43,5,6,124.5,1089,315.2700195,0,0.2826923427,155.699963,-1.051889446,0.4201217132,n/a,,catastrophic,
0372,S5,S5_0372_24,43,5,6,124.5,1089,375.9900055,0,0.2826923427,155.699963,-1.051889446,0.4201217132,n/a,,catastrophic,
0372,S5,S5_0372_25,43,5,6,124.5,995.5199585,297.780014,0,0.2826923427,155.699963,-1.051889446,0.4201217132,n/a,,catastrophic,
0373,S5,S5_0373_23,47,6,6,201,1126.02002,363.030014,0,0.2817298955,171.5498869,0.06197715739,-0.5590433937,n/a,,catastrophic,
0373,S5,S5_0373_24,47,6,6,99.47999573,1126.02002,410.0100098,0,0.2817298955,171.5498869,0.06197715739,-0.5590433937,n/a,,catastrophic,
0373,S5,S5_0373_25,47,6,6,99.47999573,1126.02002,311.7899933,0,0.2817298955,171.5498869,0.06197715739,-0.5590433937,n/a,,catastrophic,
0374,S5,S5_0374_23,46,6,6,125.9999924,1102.02002,307.019989,0,0.2574816606,249.863806,-2.395703955,-0.1802392186,n/a,,catastrophic,
0374,S5,S5_0374_24,46,6,6,125.9999924,1102.02002,382.2449951,0,0.2574816606,249.863806,-2.395703955,-0.1802392186,n/a,,catastrophic,
0374,S5,S5_0374_25,46,6,6,125.9999924,1060.5,266.0099945,0,0.2574816606,249.863806,-2.395703955,-0.1802392186,n/a,,catastrophic,
0375,S5,S5_0375_23,47,6,6,196.0200043,1129.5,373.469986,0,0.2827335983,156.5488408,0.3078283273,-1.01233934,n/a,,catastrophic,
0375,S5,S5_0375_24,47,6,6,136.9799957,1129.5,417.7499847,0,0.2827335983,156.5488408,0.3078283273,-1.01233934,n/a,,catastrophic,
0375,S5,S5_0375_25,47,6,6,136.9799957,1129.5,321.719986,0,0.2827335983,156.5488408,0.3078283273,-1.01233934,n/a,,catastrophic,
0376,S5,S5_0376_23,47,6,6,196.0200043,1126.980103,363.269989,0,0.3586722778,140.19816,0.4083662242,-1.179806597,n/a,,catastrophic,
0376,S5,S5_0376_24,47,6,6,142.9799957,1126.980103,421.5000153,0,0.3586722778,140.19816,0.4083662242,-1.179806597,n/a,,catastrophic,
0376,S5,S5_0376_25,47,6,6,142.9799957,1126.980103,310.769989,0,0.3586722778,140.19816,0.4083662242,-1.179806597,n/a,,catastrophic,
0377,S5,S5_0377_23,46,6,6,216,1107,370.7249832,0,0.3587737958,93.85227458,0.4863573643,-0.5334082495,n/a,,catastrophic,
0377,S5,S5_0377_24,46,6,6,206.519989,1107,384.8399887,0,0.3587737958,93.85227458,0.4863573643,-0.5334082495,n/a,,catastrophic,
0377,S5,S5_0377_25,46,6,6,206.519989,1107,281.1149597,0,0.3587737958,93.85227458,0.4863573643,-0.5334082495,n/a,,catastrophic,
0378,S5,S5_0378_23,46,6,6,199.5,1130.519897,368.7300262,0,0.2827335983,113.267612,0.2108653885,0.2872437871,n/a,,catastrophic,
0378,S5,S5_0378_24,46,6,6,162.4799957,1130.519897,394.260025,0,0.2827335983,113.267612,0.2108653885,0.2872437871,n/a,,catastrophic,
0378,S5,S5_0378_25,46,6,6,162.4799957,1130.519897,274.2150116,0,0.2827335983,113.267612,0.2108653885,0.2872437871,n/a,,catastrophic,
